n13439570 n13489037
n2085272 n2083346
n5251789 n5250659
a2484919 a2484919
r35255 r35255
n8885631 n8885631
n12570972 n13104059
n1002554 n996969
n14794693 n14586258
n2158619 n5470189
n2119022 n2119022
a1339730 a1339730
n11232989 n11232989
n14334122 n14222112
r49889 r49889
a2459969 a2459969
n8871007 n8871007
a380583 a380583
n8175875 n8293982
n5936130 n5928118
n3291819 n3291819
n3193260 n4170037
n11653570 n11650558
a619238 a619238
n11726707 n11669921
n10317884 n10053808
v192356 v192051
a1521776 a1521776
n1956849 n1904182
n1423160 n8108972
a414354 a414354
v383093 v383093
n6371999 n6369829
a3106565 a3106565
n12374418 n12374418
n3496749 n3496749
n14309183 n5823932
n14348757 n5823932
n13456367 n13446390
n2834642 n3497657
v1190840 v1171183
r220223 r220223
n3712981 n3892891
n3061505 n3079741
n6576893 n6355894
n14780040 n14778436
v2728784 v2727883
n347490 n333366
a874634 a874634
v1165898 v1158872
a164863 a164863
n5731223 n5726345
n577357 n407535
v2307882 v2306462
v937208 v933821
n13265603 n13253255
n7067876 n7066659
n7028221 n7020895
n14104218 n14547369
a150202 a150202
n3746330 n3051540
n14143818 n14122053
n10508475 n9605289
n3687306 n3277771
a1036083 a1036083
n3942813 n2778669
n8655464 n8654360
n12991645 n8108972
n27807 n27807
n215534 n215314
n5417162 n5397468
n15251892 n15157041
n4348548 n3892891
a2832458 a2832458
n14177210 n14174549
n4275175 n4038440
v2464583 v2725714
n10954039 n10954039
v167385 v224901
n7415396 n7283608
n10822338 n10822338
a2470316 a2470316
n5212168 n4623612
n7258109 n6873571
n13687524 n13604718
r391308 r391308
n4432538 n4588986
n12099972 n13112664
n445802 n523513
a2024658 a2024658
n2340640 n2331046
n12604845 n12604845
v1415454 v1410223
n2775897 n4341686
a2939406 a2939406
n6562217 n6562217
n6899310 n6894544
n12144117 n12144117
n13830166 n5074774
n4143365 n4515129
n2301072 n1759182
n406234 n404403
n9738400 n9738400
n14578940 n13920835
n4118635 n2913152
n7704205 n7874780
n15021927 n14989820
n9690083 n9634494
n2315696 n7992450
n1628148 n8108972
n14564306 n14564165
n142140 n879271
n4986258 n4985198
r366393 r366393
n6189551 n6186301
r209874 r209874
a2577061 a2577061
v1670315 v1675963
n10861926 n10861926
v2043982 v2044278
n4011827 n4011827
n3350602 n2776205
r161420 r161420
n9474765 n9304750
n3653975 n4046590
a2445394 a2445394
a801691 a801691
n6621061 n6619065
a198147 a198147
n1134037 n1133281
v2332891 v2327200
n6660668 n5772356
v1224653 v1211699
v1934427 v1931768
r136469 r136469
v2391193 v2391193
a644299 a644299
n14070206 n14052403
v290740 v441445
n13805179 n13796779
n10258896 n9626031
n13903738 n13903079
a2807478 a2807478
n10210911 n9811712
n2677718 n3738472
n3614383 n3744840
n10401639 n9626238
a139870 a139870
n6430784 n6430784
a2156421 a2156421
n4820908 n4819026
n9460139 n9460139
n14769644 n14580897
n5961141 n5943300
v1586738 v1564144
n288486 n286957
n3457184 n3185746
n3168217 n3001627
n1173660 n349369
n7670657 n7670433
n6669013 n6667317
n12349491 n11567411
n13515149 n13515149
n11437823 n11426530
n10993636 n10993636
n14853210 n14806838
n4663763 n4662951
n1858441 n1858441
n15055046 n14792703
n2820085 n3259505
n431292 n431292
n2183697 n8106934
n14867858 n14866889
a2748635 a2748635
v1718755 v1714208
n15153472 n15144371
n6826407 n6817623
n10895274 n10895274
n2579303 n2576223
a1810868 a1810868
n3482128 n3736970
n7429976 n7370125
n372448 n351485
n3903290 n2681518
n14084880 n14052403
v687738 v800930
n2531362 n1432517
n11521824 n13482330
a2504131 a2504131
n470830 n464651
n1917289 n1905661
a3072518 a3072518
a2773612 a2773612
n6332364 n7997703
n11810559 n11567411
v1875684 v1875295
a1423592 a1423592
a1291391 a1291391
n3628984 n3733925
n5706228 n5701944
n6958178 n6904171
a2734016 a2734016
n10342893 n9632518
a742879 a742879
n11712153 n11567411
n11364419 n11364419
n13785965 n13783581
n3878066 n3719053
n2638104 n5397468
n5647451 n5645597
n7679034 n7882497
n11751765 n13118707
v2004352 v2004874
n5310351 n5470189
n5285101 n5280831
a1325193 a1325193
n12110778 n12110778
n14755077 n14966667
n13060689 n7992450
n10738321 n7846
a2689889 a2689889
n3555564 n3563967
n3252231 n3285912
n11207929 n11207929
n2242455 n2241569
n1560935 n1557185
a2386305 a2386305
n11109563 n11109563
v1199213 v1200440
n11036140 n11036140
n6983114 n6904171
n1232412 n1229938
n3580518 n3243218
n9449773 n9449773
n14202673 n14204950
n117124 n859001
n9665075 n9644820
n13830305 n13830305
n14721635 n14983143
n15080055 n14850483
n4432393 n3699975
a1437963 a1437963
n6273555 n6254669
n8220089 n8190754
n10665006 n10011902
n1799679 n1789386
n11785100 n11556857
n2447591 n8108972
n5358345 n5246511
n2051701 n7992450
n7645631 n7555863
v844941 v907147
v2596371 v2596371
v36932 v40353
v2439732 v2439501
n7381678 n7387509
n13805336 n13796779
n11109424 n11109424
n734783 n733883
n2702989 n3733925
v4227 v4227
n3614532 n3614532
a296783 a296783
n1109114 n1106808
a2313563 a2313563
n1521399 n1521399
n4927792 n4927445
n12663359 n13104059
a2504046 a2504046
n6694149 n6694149
n3325584 n4143897
n1339206 n1326291
a1844141 a1844141
a1207835 a1207835
v2366241 v2224055
n8714132 n8714132
n6018267 n6000644
r268165 r268165
n12408280 n12408280
a2616906 a2616906
v1909397 v1909397
n12736603 n12736603
n720166 n719494
n3541091 n3541091
n4059701 n4213626
v962190 v943837
v310155 v309310
n8293003 n8292756
a2709190 a2709190
n1378800 n7992450
n13397519 n13396054
n5804491 n5796750
r293171 r293171
a2288022 a2288022
v2694802 v2690708
n274009 n273690
a2734192 a2734192
n8753729 n8753729
n5128219 n5125377
a1628677 a1628677
v588221 v588888
a25633 a25633
n12893463 n13103136
a50641 a50641
n13844923 n31921
a3047714 a3047714
n10449521 n10466918
v732091 v468791
n9679708 n9678009
n10679610 n10069645
a2964291 a2964291
n7606058 n7596684
n12217586 n13112664
n5613962 n5617107
v805376 v805376
v2621853 v2621853
n11266279 n11266279
n2256882 n1762525
n7572134 n199130
n3120491 n8570758
v22316 v19448
n8498163 n8497294
n52791 n52500
v2161160 v2123903
n11521665 n13482330
n10690002 n10351874
n5877412 n5872982
n10028977 n10794014
a1819152 a1819152
v554894 v109660
r175919 r175919
n5549061 n5543177
v1210152 v1210152
n8425173 n7974025
n10631654 n10794014
n9185612 n23773
n7283198 n7283198
n3844673 n2914991
n4578801 n3039947
n11799732 n12205694
n9861863 n9878275
n6082834 n6037298
n201058 n199130
n15128549 n15128549
n13290676 n13282550
n386915 n386915
n10185591 n10480253
n7199565 n7160883
a1858740 a1858740
v2425112 v2425112
n4300741 n13777764
n9376198 n9225146
n288671 n286957
n2893148 n2797692
n7631023 n7628870
n10968640 n10968640
n11134466 n11134466
n11339534 n11339534
n4202282 n3183080
n6669193 n6667317
r498293 r498293
n3252064 n3252064
n1330852 n1326291
n8728749 n8728749
n12433081 n13129165
n215683 n209943
n4756025 n4753455
n5779116 n5774129
n8209687 n8208016
n8004548 n28651
n4471912 n3574816
v771632 v771632
n2099712 n2087122
a59028 a59028
n9920771 n10340312
n10112591 n10112591
n9219592 n9224911
n7210225 n7210225
n3785721 n4192858
n11942487 n11942487
a3033108 a3033108
n10861741 n10861741
n891345 n883297
a2254669 a2254669
n4432308 n3873064
n7704305 n7874780
n14491034 n13396054
n14432623 n14429985
a2700792 a2700792
n1942177 n1940736
n2506248 n1886756
n11883628 n11883628
v1053098 v983824
n7586718 n7583197
n8234628 n8054721
r439930 r439930
n5936300 n5928118
n1207609 n1207609
n12927194 n13112664
v1513710 v423971
n7053089 n7048000
a257102 a257102
n8919241 n8919241
a1555133 a1555133
n2026798 n1507175
n7861158 n7882497
n4539203 n3285912
n5094565 n5090441
n13614679 n13600404
n3516011 n14778436
n3976268 n4188643
n4216860 n3339643
v61933 v78760
a1883719 a1883719
n3589093 n2962545
n13878112 n13865483
a947945 a947945
v600235 v599992
n2110627 n2083346
n9533498 n9533498
n8557057 n8556491
v540235 v540235
n3423877 n3636248
n7718920 n7705711
n9086070 n9086070
n6248530 n5999266
a2195811 a2195811
n2736396 n3895585
n950217 n947128
v1777210 v1777210
n181781 n1080366
n13540091 n13446390
v1028079 v1028748
a2939272 a2939272
v2464725 v2725714
n5383348 n5246511
n2349040 n8108972
n6924790 n6904171
n2809866 n2809866
n6910134 n6904171
r74641 r74641
n9895222 n10480253
n10690095 n9811712
n12301445 n13134947
v830348 v830348
a2215087 a2215087
n2663086 n1432517
n13976527 n13972797
n8944224 n8944224
n313971 n313647
n9401613 n9401613
a2616997 a2616997
n4505888 n3497657
a619433 a619433
v2136138 v2133435
n5515670 n5515670
n14275560 n14253124
v1067664 v940384
v456357 v456357
a1496311 a1496311
r102986 r102986
n10317717 n10058777
n10219453 n10099375
n3746155 n3746155
n10087255 n10722965
a972902 a972902
n13600097 n13600097
n6464024 n6464024
n86140 n83975
n8958830 n8958830
a776090 a776090
n9342937 n9342937
n6537323 n6479665
n2012185 n2000954
n1751621 n7992450
n1726692 n1661091
r425330 r425330
v1415285 v1400044
v614829 v614999
r60032 r60032
a2240006 a2240006
v397576 v397576
n1594372 n1525720
n9968741 n9610405
v1190948 v1190948
a2181231 a2181231
v1429953 v1621555
n5975846 n6167328
n3266749 n3050026
n9508474 n9508474
n14348895 n5823932
n5672391 n5672391
a874547 a874547
v2714057 v2714057
r425223 r425223
a1291234 a1291234
n12349315 n13112664
a414227 a414227
n13226135 n8108972
n7488340 n7484265
n3712887 n4267577
n675808 n1024392
n9993651 n9622049
n11423356 n11524662
a3072673 a3072673
n5251655 n5250659
v2077430 v2077148
n13265749 n13253255
n6865953 n6359877
r49758 r49758
n2761392 n3738472
n13687652 n13604718
v1126360 v1090335
a2675320 a2675320
r234747 r234747
v2102840 v1995549
a2459862 a2459862
n9533406 n9533406
a1061100 a1061100
v192471 v192051
n1002413 n996969
v2307993 v2306462
a1810720 a1810720
n9968652 n9865398
a585597 a585597
n7067760 n7071483
a3106446 a3106446
n3687448 n3670849
n13035521 n8108972
r391476 r391476
n9052652 n9052652
n10508379 n10058777
n11462951 n11462526
a2689973 a2689973
n15069712 n14786479
n6141768 n6136258
n9013074 n9013074
v1356582 v1356370
n13456252 n13446390
n4638857 n4623612
a658942 a658942
n2604657 n1429349
a1075742 a1075742
n5745744 n791078
n2085118 n2083346
a84022 a84022
n9460046 n9416076
n13495873 n13447361
n12183816 n12183816
n3291741 n4605726
n1956764 n1904182
n9112742 n9112742
a1785341 a1785341
n6890846 n6887726
n9027679 n9027679
r464878 r464878
n2834778 n2834778
n10572889 n10570019
a1569807 a1569807
n4084682 n3285912
a2832586 a2832586
n4795545 n4794751
a1325017 a1325017
n1712008 n1661091
n939818 n939818
r450234 r450234
n12952165 n12952165
n7297811 n7297811
n9954081 n9764201
n1653223 n1627424
n1897991 n5225602
n347359 n333366
n4118538 n2778669
a908315 a908315
v495998 v494269
a3033024 a3033024
a644372 a644372
n11232837 n11232837
n8439808 n7951464
n10822211 n10822211
n3917973 n4530176
r366490 r366490
v1224744 v1211699
n14637864 n14625458
n5417272 n5397468
n1981702 n1981702
n14104118 n14547369
n9474663 n9416076
n6635759 n6634376
n4275283 n4516672
n4986147 n4985198
n15021824 n14842992
n768063 n773814
n925207 n924825
v2234551 v2228698
n12531552 n11567411
v2753642 v126264
n866423 n859001
n7258238 n6873571
n10836862 n10836862
a683910 a683910
n11917407 n11915214
a380483 a380483
n12340998 n14991712
n12868418 n11567411
a1799957 a1799957
n406114 n404403
n13481224 n13523208
n3942920 n4008947
n4143492 n3419014
n12085469 n11556857
n11002684 n11002684
r209754 r209754
v878348 v878348
n13746419 n13728499
n1207521 n1202904
n13771404 n13760316
v251270 v251270
n14202520 n14204950
a2386418 a2386418
n7802767 n7566340
n7126521 n7109847
n7743902 n7742704
v1199365 v1200440
n14828396 n20090
n5192897 n5190804
n5299687 n5297523
n5686955 n5686481
a1712327 a1712327
n5961278 n5943300
n2677602 n3740161
n2545841 n1428580
n11364570 n11364570
n14696180 n14662574
v2332999 v2327200
n11594676 n8106934
n3168364 n21939
a742714 a742714
n1496037 n8106934
n13397443 n13396054
v481391 v277659
n6997697 n6904171
a139990 a139990
a125319 a125319
n4624289 n4623113
n9435065 n9435065
n8293088 n8293088
v648224 v648224
a1751940 a1751940
n6405699 n6405699
n9861946 n9632518
a1423491 a1423491
n4854389 n4827652
a3131480 a3131480
n6102116 n33615
v1586600 v1227675
n10303186 n10480253
a1109599 a1109599
a2748757 a2748757
r136377 r136377
n10993507 n10993507
n4407435 n4407435
n13529616 n13493998
a25728 a25728
v1704236 v1729431
n7356676 n7356676
n7440411 n7440240
n998196 n996969
n6346891 n6345320
n4564118 n3391770
n14794534 n14586258
n8366440 n6208021
n3227184 n3391770
n3555662 n3739693
n11712282 n13109733
n1917167 n8108972
n504526 n455599
v95377 v94460
n2183507 n2159955
n14070360 n14061805
a2905943 a2905943
v1973932 v1973125
n3482252 n2821943
n8680363 n8680363
a801539 a801539
n11437957 n11426530
n3580615 n3820728
n10342770 n9610405
n3496892 n3699975
n15212358 n13575869
n15055181 n14586258
n117267 n859001
n8268085 n7939382
n6958063 n6904171
n13673080 n13604718
a355453 a355453
n5588551 n5267345
a2518601 a2518601
n12119238 n12102133
a428878 a428878
n9836976 n7846
n8812552 n8812552
n2570838 n2570838
n12388989 n12205694
n7342049 n7342049
v1645421 v1642437
n5021535 n5009170
n13299071 n13275847
n15226972 n15226732
n12722071 n13109733
a2445207 a2445207
n12820434 n8108972
n4309049 n3789946
v1572003 v1323958
n602909 n582388
n4289827 n13860793
n156812 n42311
n9449657 n13086908
n1418498 n1326291
n10816644 n10816644
n12025849 n11567411
n7987216 n7975026
n7532832 n7532440
n2059541 n2021795
a1060712 a1060712
v1566185 v1564144
n12505752 n13112664
n9639382 n9638875
v2748627 v2748627
n10336730 n9795334
n2564403 n2562315
n1732614 n1732244
n5481095 n5462674
n3600475 n3380867
n11648428 n7992450
v1375458 v1375295
n13805456 n13796779
n4242871 n4202417
n3839172 n4598582
v2268704 v2267060
n1193886 n1181475
v1591158 v1871979
a2538184 a2538184
n5770257 n5770664
v325777 v140123
a1731351 a1731351
v1448917 v1448100
a3000725 a3000725
n6411883 n6410904
n15049309 n14586258
r478311 r478311
a2097884 a2097884
n7052925 n7048000
n13554586 n13446390
n4721428 n4721058
a1540637 a1540637
n7723559 n7705711
v902807 v974367
n12721477 n13109733
n4999741 n4997988
a2083222 a2083222
n9218315 n9218315
v2700666 v2700666
n7027942 n7020895
n11168513 n11168513
n14927739 n14792703
n8254195 n8252211
n13108545 n13104059
n3359285 n3269401
n3864139 n3323703
n2780121 n4079933
n6459834 n6459834
n14854262 n14856263
r287601 r287601
n14447816 n13920429
n6577063 n6355894
n3648431 n3484083
n872107 n868910
n5804136 n5796750
n10072546 n10576962
a144598 a144598
n13060017 n12992868
n8616872 n8616311
n5338847 n5246511
r405389 r405389
a1021120 a1021120
n9400667 n9400667
v818974 v818974
n10782791 n10118844
v311113 v223500
n15265021 n28270
n3350880 n8578706
n12769430 n7992450
a947012 a947012
n13614764 n13614764
v1894914 v1894649
n10238272 n7846
a1961666 a1961666
n5060052 n5058580
n6445214 n6445214
n5074690 n5062748
n6939756 n6904171
n2769748 n2773037
n9894654 n10439851
n2828648 n4096066
n15015963 n9465459
v291873 v280930
n9257949 n9257949
n6925103 n6904171
n1707698 n1661091
n11418138 n11418138
n10552486 n9628382
v2557902 v2557199
n9184405 n23773
v1953810 v1953810
a1706341 a1706341
a1588619 a1588619
n14183692 n14174549
n5818741 n5817396
v745499 v745499
n2300797 n2300797
v613683 v613683
n103590 n103140
n4217882 n4341686
n2202287 n2202287
n2309120 n2311060
v69747 v72989
a2577734 a2577734
n8327616 n8307589
n597532 n582388
a2372434 a2372434
v843959 v1011725
n367280 n365709
n3168543 n4341686
r116180 r116180
n6386345 n6776138
n2755140 n2974697
n499066 n455599
n6181034 n5870916
a2347489 a2347489
n14913136 n14607521
n1541922 n1529672
n10841657 n10841657
v1880390 v1880113
n6518719 n6472025
n14217581 n14276936
a2010266 a2010266
n4769456 n4767347
n3482727 n3154446
n12300441 n8106934
n3061674 n4359589
n6195698 n6193203
v541417 v154778
n2696246 n4531098
n7434320 n7363346
n14099785 n14547369
r141146 r141146
n6832896 n6817623
n14638517 n14622893
n4951716 n4951373
n11732309 n11567411
v770437 v770437
n7625061 n7557434
n9678917 n9678917
n3418158 n3489162
v2582921 v2582615
n13456071 n13446390
a360235 a360235
n9723228 n9738400
n8734044 n8734044
n9796185 n9606527
a3009131 a3009131
n9762821 n9762821
n10900524 n10900524
a1745946 a1745946
n5133535 n13575869
n12143065 n12141495
n14722426 n14625458
v55142 v55142
n5324276 n5531161
v516425 v515154
n6352954 n6351202
n15172782 n15157041
n11771924 n11771924
n12407222 n13104059
a1672487 a1672487
n10659294 n10498551
v1145163 v2000868
v877327 v877327
a756327 a756327
n3022041 n14778436
n11325867 n11325867
a144510 a144510
n10718131 n10718131
n10802043 n10546633
a2720484 a2720484
v398741 v254867
v1027924 v1010118
a2563194 a2563194
a2622093 a2622093
n5049656 n5044673
v2641741 v2641463
v1625044 v1621555
n11252392 n11252392
a1995047 a1995047
n5363868 n5246511
n8807554 n8807554
n3937633 n3315023
n4119360 n3094503
n9880075 n9763784
a795959 a795959
a119533 a119533
n12564083 n13100677
n3457793 n3093574
n10973497 n10973497
a1417105 a1417105
n8709038 n8709038
a2984104 a2984104
n7591162 n7588947
r189129 r189129
n2539424 n1428580
n11311287 n11311287
n681441 n1024392
n10743124 n10741590
a2024928 a2024928
n6734467 n6634376
n1154237 n1123598
n4433585 n2886599
n2794779 n3679384
n3923004 n9190918
n13279913 n13275847
n4926728 n4924103
n14579623 n13945919
v457569 v457569
a1770903 a1770903
n13937284 n13927383
r180756 r180756
n10263259 n9769636
a840103 a840103
n2143439 n2143439
n1168840 n1080366
n3443149 n3988170
n10420649 n9622302
a1035725 a1035725
n4794408 n4723816
n9737835 n9641757
n6675581 n6470073
n4828255 n4827652
n8352613 n8208016
n6024230 n5816622
v1243661 v1225970
n5784831 n5784831
n14144064 n14122053
n15231634 n13575869
n14893881 n14966667
r73763 r73763
n2721813 n3050026
n8484522 n31264
n6254475 n6254475
n13397174 n13396054
n5231940 n5225602
n11061734 n11061734
n9014273 n9014273
n10684311 n9835506
n11805837 n11567411
v975733 v974367
n5877178 n5872982
a2998844 a2998844
a1838151 a1838151
n2912440 n3269401
n8195229 n8208016
n6807971 n5765159
n4565375 n3574816
n274941 n273690
a815227 a815227
n9302127 n9448361
a276355 a276355
a3034035 a3034035
n8220891 n7992450
n3746994 n4074482
a526062 a526062
a2240668 a2240668
v2602212 v10435
v1013230 v1013230
n3996004 n3183080
n1359631 n8108972
n10889689 n10889689
n11516659 n11419404
n7855317 n7843775
n1996280 n1994492
v1507792 v1508368
a1358231 a1358231
n9869706 n9605289
r34137 r34137
n7894965 n7881800
n7375405 n7283608
n3962685 n4377057
n7591236 n7588947
a1069187 a1069187
v647094 v697589
r371541 r371541
v443000 v552815
n12828220 n12826516
n4110955 n4110955
r346592 r346592
n3541537 n3546340
n12446908 n13134302
n8689873 n8630039
n11830714 n12205694
v672017 v617748
n249987 n248977
n3252422 n3563967
a1877792 a1877792
a2695045 a2695045
a1167540 a1167540
n2432511 n2394477
n3516647 n3574816
v80169 v78760
a1574036 a1574036
v1914297 v2050132
v936169 v935987
a2431351 a2431351
n4853361 n4852088
n6313457 n8459252
n8411585 n8411170
n2182930 n2164464
n7869937 n7557434
v1723437 v1712704
a2142063 a2142063
n7184735 n7180787
n4985198 n4985198
n14986004 n14984973
n11022160 n11022160
n12182615 n12182615
n4144434 n3597469
a360306 a360306
v1987160 v1987160
n13746512 n13728499
n2662825 n2552171
v1111816 v1111028
n1502262 n7992450
v961114 v2436349
n4892970 n4890112
a374944 a374944
a1549087 a1549087
a2479361 a2479361
n1839598 n1838038
a1481812 a1481812
n7400906 n7296190
a301951 a301951
n6950049 n6904171
n7566231 n21265
a2406370 a2406370
n10277815 n10099375
n813800 n803617
a2445978 a2445978
n15147850 n15144371
r34189 r34189
n10204833 n10474950
n12289585 n13109733
n8268807 n8430203
v1204021 v1182709
n14820933 n14974264
n4374608 n4374608
n13687756 n13604718
n12853287 n12853287
n2985506 n3154446
n11266920 n11266920
v2161922 v2191106
n12157677 n7992450
n9087247 n9087247
n6709349 n6696483
v1218652 v1217043
a2156686 a2156686
n13648184 n13648184
n13976907 n13972797
n4276249 n3563967
a2959224 a2959224
a2768421 a2768421
a1299484 a1299484
n6504155 n6504155
n12098827 n13118707
n510050 n509846
n12216628 n13112664
n12951835 n12951835
n14736972 n14728724
n15279596 n15286249
n11996092 n11567411
n2348788 n2331309
n13324188 n13318147
v21826 v78760
n7928998 n7927197
n5279953 n5279953
a1922131 a1922131
n3589513 n3269401
n13108481 n13104059
n10948478 n10948478
n7204110 n7204110
r116280 r116280
v2689730 v2687916
a722886 a722886
n9473685 n9473685
n1937909 n1905661
n3193423 n4170037
a624416 a624416
n1061945 n1061333
n6229410 n5946687
n11095123 n11095123
n1036996 n1036996
n729825 n582388
n11962500 n11567411
a599005 a599005
v2386012 v2386012
n4301626 n4463983
n10468559 n10069645
n14349446 n14122053
n11384291 n11384291
v2038357 v2038357
v2063309 v2035919
n11120530 n11120530
n5456082 n8620061
n13133438 n11669335
n7302542 n7339329
n6939656 n6904171
a1060785 a1060785
n597629 n582388
n9375223 n9375223
a590669 a590669
n12432356 n12432356
n9389867 n9379111
a2852265 a2852265
n847167 n844254
n7159791 n7109196
n8773679 n8773679
n8557976 n8556491
v1409374 v1405044
n10611361 n10524973
n6964600 n6904171
v2313098 v2350175
n11443057 n11524662
n1286000 n1286000
a1515692 a1515692
a2636708 a2636708
r444975 r444975
n8063446 n8056231
n3036701 n3096960
n13074619 n12997654
n8939437 n8939437
n12867826 n12205694
n14433232 n14429985
n2407521 n2402425
n13673178 n13604718
n6543781 n6479665
a1397892 a1397892
n53913 n42757
a2470952 a2470952
a90408 a90408
n7880325 n7557434
n14506656 n14061805
n7086323 n7083732
v1928838 v1928838
a65488 a65488
n2011668 n1507175
n3805725 n4447443
v193486 v193486
n14026781 n14373582
n12373361 n7992450
n2289988 n2283201
n4579986 n3414162
n14868916 n14662574
n9448690 n9366017
r48739 r48739
n10493528 n10541229
n14012173 n14010148
n3687928 n3574816
n11864114 n11672400
n5613478 n5611302
r503777 r503777
n3707372 n3183080
a1936778 a1936778
a3048680 a3048680
n8518374 n8569998
a2925879 a2925879
n11839167 n13100677
n14051728 n14034177
n558008 n556313
n11937523 n11567411
n15049401 n14625458
n6156015 n6153846
n6097231 n6090869
a2911243 a2911243
n14374432 n14373582
v589309 v588888
n2530999 n1428580
n12241426 n12241426
n3359137 n3636248
n11839297 n11567411
n15015872 n9465459
n7170080 n6725877
n14183522 n14174549
n11600372 n11552386
v843852 v842989
n10047459 n10047459
n5074774 n5074774
n9664450 n9644820
n6411753 n6410904
n7507742 n7506569
n15279767 n15286249
n87218 n83975
n6866124 n6359877
r214554 r214554
v1400856 v1400044
a2372520 a2372520
n3648527 n14818238
n2334201 n2331046
n12721357 n11567411
n2011460 n2000954
n2814116 n3574816
n10527334 n10527334
n12530818 n12520864
n5554653 n5513302
n8832447 n8654360
n15265135 n28270
n15001212 n14984973
a1804728 a1804728
v2675067 v2657219
n9928451 n9928451
n2578928 n2576223
n13805594 n13796779
n2275372 n1762525
a2347564 a2347564
n1036903 n1034925
v21679 v78760
n1154373 n1123598
n2241799 n2241569
n176609 n162632
n656524 n654885
a913551 a913551
n9184543 n23773
n11398955 n11398955
n12912274 n13100677
n2505998 n1886756
a1961786 a1961786
n13529450 n13440063
n12769318 n13109733
n7027805 n7020895
r116091 r116091
n6181123 n6172789
n10131515 n9641757
n3418242 n4451818
n12050959 n12050959
v55010 v104868
n2755244 n2679415
n9159546 n9159546
n9375085 n9375085
n2853745 n3664675
n5324388 n5267345
n788362 n786195
v1086103 v1086103
n14913278 n15010703
n7796649 n7555863
n10238375 n9807754
a2538050 a2538050
a1501113 a1501113
n13363970 n13928668
n2309242 n1767661
r503945 r503945
a2274089 a2274089
n333733 n331950
n14447908 n13920429
v1869893 v1869563
n6832788 n6817623
a2891869 a2891869
n3878674 n4188643
v1639714 v1639714
n1227805 n34574
n4203356 n2676261
v1591012 v449692
a2097796 a2097796
n8641744 n8648322
n8293684 n8293490
n13878306 n13862780
n1359488 n7992450
n12011370 n11672400
n9869578 n10541229
a408660 a408660
n8543496 n8523483
v1796582 v1771535
n14927881 n14728724
n3168663 n3391770
n4912052 n4897762
n14565196 n14061805
a467019 a467019
n9400584 n9416076
n9243405 n9243405
a3048845 a3048845
a1265938 a1265938
n11457841 n11473954
n7434473 n248977
n9218494 n9416076
n14012311 n14010148
v2161758 v2161758
n15074456 n14727670
n7184652 n7180787
n9028841 n9028841
n2637839 n1432517
n14795263 n14586258
n9053801 n9053801
n1634227 n1627424
n2118333 n2083346
n260494 n248977
n5686272 n5669934
n7277158 n6362953
n12289433 n13109733
v2352704 v2327200
n7111711 n6284225
n10973339 n10973339
n4926620 n4924103
a3009253 a3009253
r141033 r141033
a2010127 a2010127
n2202124 n2200198
n7639577 n7628870
n9737981 n9634494
n5397333 n5246511
n7013269 n7012534
a374735 a374735
n6748969 n6722453
a130017 a130017
a2998669 a2998669
a2827413 a2827413
v2229055 v2200686
n13962166 n13961642
n4696085 n4692157
n3482877 n2778669
n5843895 n5838765
n10322084 n10389398
v2122164 v2122164
a1324870 a1324870
n6734322 n6634376
r180611 r180611
n1129363 n1123598
n4012482 n2686568
n9723361 n9628382
n6122747 n6115476
n8964474 n8964474
n3384167 n4451818
a2288668 a2288668
a1745846 a1745846
n7566092 n21265
n5902786 n5902545
n14565121 n14061805
n4506994 n4263760
n1609236 n1507175
n7987135 n7975026
n9341874 n9328904
n15172881 n15157041
n3937751 n2974697
a1731208 a1731208
n10659393 n9821253
n2216740 n2206270
n11687964 n13091774
v4492 v4492
n2696165 n2913152
n8254055 n8252211
a1310273 a1310273
n14952878 n14586258
n13338960 n13403331
n583089 n582388
v384055 v138508
v1566038 v1564144
n1575401 n1571904
n10420507 n9984298
n3129001 n4531098
n14158594 n14052403
n3398775 n4334599
n7664582 n7555863
n8268636 n8430203
n5804274 n5796750
n7375635 n7445480
v2484570 v1323958
n7591049 n7588947
n4119230 n4359589
n13265425 n13253255
n740342 n66216
a829656 a829656
n1443398 n1432517
n5108412 n5107765
n12985236 n8108972
n11350959 n11350959
n1384491 n1326291
n1648818 n7992450
n9953483 n9759875
a1035858 a1035858
a105023 a105023
n7409475 n7350192
n13976731 n13972797
v1664704 v1664172
n6675691 n6675691
n3502042 n2784218
n15231765 n15231765
n12662654 n11567411
n11830906 n13112664
n9302263 n9302263
v1302577 v1347298
n1168961 n1080366
n14217473 n14276936
n1252800 n209943
a1290947 a1290947
n1213234 n1207609
a3000868 a3000868
n2157954 n5470189
n10106509 n10466918
a2563068 a2563068
n15133289 n28270
n12623077 n12205694
n2912557 n2968473
n8675145 n8593262
n1022292 n1017987
n13192025 n7992450
n6484696 n6634376
n13673267 n13604718
n8484648 n31264
n12387839 n12387839
n11805956 n11805956
v2063486 v1983771
n14281992 n14276936
n11022001 n11022001
a829745 a829745
n5001724 n4997988
n13167078 n8108972
n3732252 n3732252
n4374735 n4374735
v1204191 v1178565
n10698970 n10090020
n3036866 n3525827
a2431262 a2431262
n1286181 n1286181
a551120 a551120
n11252222 n11252222
n8689771 n8537837
n3252324 n4341686
n6807849 n6806469
n13422684 n13386614
n13707106 n13706993
n4110841 n4000311
n2623170 n8106934
n4623113 n4623113
n11193392 n11193392
